cross validation loss,training loss,iteration,train_time,params
,,,,
0.37393412641533,0.373759858543404,1,0.173039197921753,{'alpha': 0.47443198037706014}
,,,,
0.374050817434126,0.373875860922356,2,0.17203950881958,{'alpha': 0.6855420411822316}
,,,,
0.345284168511867,0.343533455522596,3,0.179040908813477,{'alpha': 0.21606433023635918}
,,,,
0.373991179781763,0.373816623428634,4,0.170038223266602,{'alpha': 0.5872875028136302}
,,,,
0.373908848799615,0.373734659600317,5,0.174039125442505,{'alpha': 0.4146100739041928}
,,,,
0.371191424731929,0.370952635153993,6,0.178040266036987,{'alpha': 0.2660165385868921}
,,,,
0.374267610936597,0.374090792316006,7,0.199044942855835,{'alpha': 0.9612000911780134}
,,,,
0.373914174449597,0.373739972199086,8,0.173039197921753,{'alpha': 0.4279179870341767}
,,,,
0.374287915363383,0.374110902542906,9,0.173039436340332,{'alpha': 0.98305279232173}
,,,,
0.374201384986272,0.374025181064406,10,0.171038866043091,{'alpha': 0.8861740774961794}
,,,,
0.148806408845669,0.146535324140099,11,0.203045845031738,{'alpha': 0.027804997541449605}
,,,,
0.37420045666399,0.374024261132211,12,0.177040100097656,{'alpha': 0.8850770354370124}
,,,,
0.373905927598707,0.37373174462227,13,0.177039861679077,{'alpha': 0.407123446393721}
,,,,
0.374007814381271,0.373833154361218,14,0.170038938522339,{'alpha': 0.61628264839569}
,,,,
0.374103214568446,0.373927854213641,15,0.169038057327271,{'alpha': 0.7614150612592988}
,,,,
0.199947446361198,0.197918720580927,16,0.187042474746704,{'alpha': 0.07776629417525516}
,,,,
0.373979198126516,0.373804711800607,17,0.168037414550781,{'alpha': 0.5654746335642864}
,,,,
0.373996635923559,0.373822046350341,18,0.168037891387939,{'alpha': 0.5969543591488399}
,,,,
0.374010037916553,0.373835363521704,19,0.167037487030029,{'alpha': 0.6200549061905163}
,,,,
0.373944587443392,0.373770276389462,20,0.168037891387939,{'alpha': 0.49706587681265546}
,,,,
0.195612555587124,0.193657592092466,21,0.186042070388794,{'alpha': 0.07336066906287902}
,,,,
0.118834236147694,0.112849541988271,22,0.277062177658081,{'alpha': 0.0021874635168826623}
,,,,
0.302813525571494,0.301900339815287,23,0.188042402267456,{'alpha': 0.1737725431694796}
,,,,
0.121713429090129,0.118142545100635,24,0.264060497283936,{'alpha': 0.0038078921497353}
,,,,
0.373870844631276,0.373696664522021,25,0.174039363861084,{'alpha': 0.3028494880733372}
,,,,
0.120773449674021,0.116655896991184,26,0.259058952331543,{'alpha': 0.003251259452980883}
,,,,
