cross validation loss,training loss,iteration,train_time,params
,,,,
0.121441643225292,0.095627841135777,1,0.219035148620605,"{'alpha': 0.2560718006953827, 'coef0': 5.14632738137638, 'degree': 0, 'kernel': 'linear'}"
,,,,
0.303576201534102,3.58180156525422E-05,2,0.439054250717163,"{'alpha': 0.5069073502364978, 'coef0': 1.6794567411635242, 'degree': 7, 'kernel': 'polynomial'}"
,,,,
0.355375404598509,6.80114153757431E-05,3,0.437072277069092,"{'alpha': 0.8565283839337468, 'coef0': 1.170439744451528, 'degree': 7, 'kernel': 'poly'}"
,,,,
0.396028192323089,0.395974152764235,4,0.359062910079956,"{'alpha': 0.6188581986820655, 'coef0': 9.548043153384418, 'degree': 6, 'kernel': 'sigmoid'}"
,,,,
0.396111193026405,0.396012333741387,5,0.360035419464111,"{'alpha': 0.9095261014675786, 'coef0': 9.5826492368073, 'degree': 4, 'kernel': 'sigmoid'}"
,,,,
0.395978413348794,0.395950794186805,6,0.375068664550781,"{'alpha': 0.3337309305915198, 'coef0': 7.4658127393534714, 'degree': 0, 'kernel': 'sigmoid'}"
,,,,
0.396054744344799,0.395987108474134,7,0.371103048324585,"{'alpha': 0.7226433290073893, 'coef0': 2.553156781838063, 'degree': 4, 'kernel': 'sigmoid'}"
,,,,
0.184288102777372,0.138213309120793,8,1.50414967536926,"{'alpha': 0.7252621621058769, 'coef0': 3.9065480879712835, 'degree': 9, 'kernel': 'laplacian'}"
,,,,
0.154763245411119,0.022237367642041,9,0.443111419677734,"{'alpha': 0.128706884267058, 'coef0': 7.867449065906017, 'degree': 3, 'kernel': 'poly'}"
,,,,
0.868674497802879,0.277310596393206,10,0.332999467849731,"{'alpha': 0.22602032144593065, 'coef0': 1.4668646196181168, 'degree': 8, 'kernel': 'rbf'}"
,,,,
0.189128078947344,0.142934799141564,11,1.52558612823486,"{'alpha': 0.8015553732044197, 'coef0': 5.068597483600828, 'degree': 6, 'kernel': 'laplacian'}"
,,,,
0.164452203646788,0.148441591895521,12,0.243054389953613,"{'alpha': 0.09037018170642841, 'coef0': 9.861026087892014, 'degree': 5, 'kernel': 'cosine'}"
,,,,
0.137359249622874,0.120113005944588,13,0.237053155899048,"{'alpha': 0.010860576807527056, 'coef0': 4.856134500322221, 'degree': 5, 'kernel': 'cosine'}"
,,,,
0.162139670936749,0.009701791394962,14,0.485109329223633,"{'alpha': 0.695525066873868, 'coef0': 3.657062623869425, 'degree': 4, 'kernel': 'poly'}"
,,,,
0.149371869206815,0.100177845128653,15,1.51765942573547,"{'alpha': 0.2558277400200496, 'coef0': 3.968386708439576, 'degree': 3, 'kernel': 'laplacian'}"
,,,,
0.185241151109508,0.167970792367373,16,0.231051683425903,"{'alpha': 0.21980175987033224, 'coef0': 1.9354642694733126, 'degree': 0, 'kernel': 'cosine'}"
,,,,
0.17550601748083,0.000115563734718,17,0.462104797363281,"{'alpha': 0.6003054858270273, 'coef0': 7.556341900295774, 'degree': 6, 'kernel': 'polynomial'}"
,,,,
0.176564860784442,5.44247076346394E-06,18,0.466104745864868,"{'alpha': 0.8727889012068026, 'coef0': 9.419234337039663, 'degree': 7, 'kernel': 'poly'}"
,,,,
0.967676929834248,0.440478170253853,19,0.325073003768921,"{'alpha': 0.5004095676908785, 'coef0': 3.454181817974582, 'degree': 8, 'kernel': 'rbf'}"
,,,,
0.161120073533074,0.012781363984274,20,0.443099737167358,"{'alpha': 0.9337307431316497, 'coef0': 2.4090666495804056, 'degree': 4, 'kernel': 'poly'}"
,,,,
0.125854839390705,0.095337551550009,21,0.214047908782959,"{'alpha': 0.01847023231387954, 'coef0': 6.23383257184102, 'degree': 1, 'kernel': 'linear'}"
,,,,
0.12084399113639,0.095674845725509,22,0.21404767036438,"{'alpha': 0.3383424961956758, 'coef0': 6.21655172595056, 'degree': 1, 'kernel': 'linear'}"
,,,,
0.120451949499394,0.095710302889487,23,0.213048934936523,"{'alpha': 0.4013827005250396, 'coef0': 6.3187120534940915, 'degree': 1, 'kernel': 'linear'}"
,,,,
